country,continent,ln_pop,avg_pc_gdp_growth
AGO,Africa,1.8407034310938246,0.011809027977975098
ALB,Europe,0.7657478029468873,0.028748905715007912
ARG,South America,3.1769307832999476,0.03705470689204025
AUS,Oceania,2.557596235554791,0.02311338099878487
AUT,Europe,2.0162016436328427,0.030591293643951682
BDI,Africa,1.2404338477063974,0.001642835973732575
BEL,Europe,2.268440753227031,0.028737414716960383
BEN,Africa,1.0673861204775492,0.006059112033427991
BFA,Africa,1.7271493010794534,0.012524827182141509
BGD,Asia,4.175136235504707,0.00943871166966593
BGR,Europe,2.139450091409887,0.03333424535415098
BOL,South America,1.5053596854038067,0.019548690017879726
BRA,South America,4.564165393511308,0.03465552464919553
BWA,Africa,-0.3666949772210583,0.07209012718855715
CAF,Africa,0.6036108002490044,-0.008654852138240587
CAN,North America,3.065221022073602,0.022299470296644596
CHE,Europe,1.819594618548235,0.021029739914632355
CHL,South America,2.2577831054652466,0.027417287802239575
CHN,Asia,6.695193929393197,0.044208194669570565
CIV,Africa,1.6566866988147089,0.010303575382100411
CMR,Africa,1.9126439127654464,0.014976768358200852
COD,Africa,2.996227251032425,-0.033876816139589934
COG,Africa,0.28899870531021177,0.029824290352469283
COL,South America,3.0938210440428073,0.021877617955003557
CRI,North America,0.6145762642699166,0.019605679870399188
CYP,Europe,-0.48838106461057607,0.045972296031873645
DEU,Europe,4.361397879978413,0.028648036932971892
DNK,Europe,1.595362922859437,0.025241796515128267
DOM,North America,1.5047691574546747,0.027541777850901557
DZA,Africa,2.677593261656167,0.008875609749492232
ECU,South America,1.8037736754252016,0.024818965245129117
EGY,Africa,3.5498644539579693,0.054173196232330335
ESP,Europe,3.5241003252299903,0.036775346705140266
ETH,Africa,3.346917139556404,0.019248726406592358
FIN,Europe,1.5275204485027407,0.030332338797512255
FJI,Oceania,-0.652909676821152,0.018910686250387543
FRA,Europe,3.951207756396334,0.02606206291777927
GAB,Africa,-0.5274310675048025,0.03361628989573956
GBR,Europe,4.018388234192682,0.022647987216038015
GHA,Africa,2.1514106298368616,-1.5807952266268187e-4
GIN,Africa,1.4387544495384614,-0.010919610078054025
GNB,Africa,-0.3399189697873345,0.015011983047756276
GRC,Europe,2.1723255990094597,0.03757080072189602
GTM,North America,1.690719974867077,0.02077727903619648
HKG,Asia,1.3757886185541892,0.04470212325058584
HND,North America,0.990027692354414,0.014323679283609754
HTI,North America,1.5493989066111422,0.00677952730452639
HUN,Europe,2.3365567655445343,0.03502452221467121
IDN,Asia,4.748729413887979,0.03543227567321583
IND,Asia,6.317062201351431,0.02804841753818174
IRL,Europe,1.0809027293760296,0.04374245334249575
IRN,Asia,3.3503955805071035,0.03818266897924583
IRQ,Asia,2.2943494731832628,0.051662810636356915
ISR,Asia,1.047186704828941,0.026464721280165554
ITA,Europe,3.98010530246799,0.03391407497071207
JAM,North America,0.6277298734030247,0.008768662793649889
JOR,Asia,0.5036614220479698,0.029089322270325752
JPN,Asia,4.641574793404389,0.040612399381404624
KEN,Africa,2.420587304629619,0.008868285375834652
KHM,Asia,1.9490744231696326,0.01082347830526419
KOR,Asia,3.447990028311654,0.06946645326204542
KWT,Asia,-0.2874367692077487,0.00562537300813586
LAO,Asia,0.9880624055782077,0.03988733723490381
LBN,Asia,0.8317793545522891,0.06387991589731687
LBR,Africa,0.3504653039694854,0.029106490254495115
LKA,Asia,2.5247275834139544,0.021201687477518136
LSO,Africa,0.03173119816145356,0.03024072276584283
MAR,Africa,2.7750606644715594,0.03456794505167437
MDG,Africa,1.8834724292124323,-0.01608435155883679
MEX,North America,3.9518177653235256,0.01846469439345715
MLI,Africa,1.7832303662852098,0.019374882204815987
MMR,Asia,3.301967847881295,0.06961768875539356
MNG,Asia,0.24594168759018803,0.05127315595643122
MOZ,Africa,2.2259284295303337,0.017037947561938452
MRT,Africa,0.13881192603511353,0.02032678656879741
MUS,Africa,-0.1906194896090281,0.03338824639978375
MWI,Africa,1.5268687994177805,0.008096267113492345
MYS,Asia,2.389554585773211,0.042081201333569074
NAM,Africa,-0.24796660991229175,0.015617550472207328
NER,Africa,1.5034894461894193,-0.010186843246893437
NGA,Africa,4.027703280721627,0.026408638378561982
NIC,North America,0.8746746721675716,0.0027384294813926047
NLD,Europe,2.5622441632594017,0.028606167884127877
NOR,Europe,1.3547311939804343,0.039338462560061266
NPL,Asia,2.483820560206176,0.020673627678214283
NZL,Oceania,1.036576588415276,0.017440076313803593
OMN,Asia,-0.32317109038208447,0.05838694778499167
PAK,Asia,4.062066502315016,0.025183478566434738
PAN,North America,0.41824509507198976,0.03641308412488368
PER,South America,2.590847322122392,0.025536906521338575
PHL,Asia,3.5780800355134907,0.0210275737368115
POL,Europe,3.490939086246125,0.03530285005293681
PRT,Europe,2.1599093897376216,0.03794673179609499
PRY,South America,0.905877501899718,0.027071308801806335
PSE,Asia,0.11764347036204531,0.0295300404299654
ROU,Europe,3.0228130565841274,0.05228503685233317
RWA,Africa,1.3229673724470563,0.0129930703384671
SAU,Asia,1.764113140376224,0.01291324319603583
SDN,Africa,2.6304385083382122,0.022246763636380847
SEN,Africa,1.439302758876445,9.637979528212215e-4
SGP,Asia,0.7295133425868646,0.06518538755523151
SLE,Africa,0.9219351720079031,0.01069010116410055
SLV,North America,1.2998079372273608,0.04453765910943411
SWE,Europe,2.0855539478058263,0.024548594860363614
SYR,Asia,1.8529803054302276,0.027243491784928638
TCD,Africa,1.2933319481529193,0.0012553844005443026
TGO,Africa,0.7493011178599848,0.014189987808145708
THA,Asia,3.607802632762448,0.050309680515983994
TTO,North America,-0.055516938269007964,0.02409023296669924
TUN,Africa,1.6214441482675623,0.0388164493578869
TUR,Europe,3.5488133567383344,0.02545346493935451
TWN,Asia,2.6798526266362814,0.05648986590641915
TZA,Africa,2.6104744167530223,0.013770753504472473
UGA,Africa,2.2455939122286903,0.01790254026848937
URY,South America,1.0331129505381338,0.01628029636919769
USA,North America,5.344655990050553,0.02116866355581354
VEN,South America,2.449949196016272,0.018088896186336207
VNM,Asia,3.7706274223884186,0.041737732107074335
ZAF,Africa,3.113626503028113,0.013093969293359093
ZMB,Africa,1.431597022443245,0.013772843572165938
ZWE,Africa,1.6498715435510507,0.004739938518586131
